The `load_in_4bit` and `load_in_8bit` arguments are deprecated and will be removed in the future versions. Please, pass a `BitsAndBytesConfig` object in `quantization_config` argument instead.
`low_cpu_mem_usage` was None, now set to True since model is quantized.
/u/wzhan/.conda/envs/prepack/lib/python3.9/site-packages/torch/_utils.py:776: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
You are calling `save_pretrained` to a 4-bit converted model, but your `bitsandbytes` version doesn't support it. If you want to save 4-bit models, make sure to have `bitsandbytes>=0.41.3` installed.
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
/u/wzhan/.conda/envs/prepack/lib/python3.9/site-packages/bitsandbytes/nn/modules.py:224: UserWarning: Input type into Linear4bit is torch.float16, but bnb_4bit_compute_type=torch.float32 (default). This will lead to slow inference or training speed.
  warnings.warn(f'Input type into Linear4bit is torch.float16, but bnb_4bit_compute_type=torch.float32 (default). This will lead to slow inference or training speed.')
Loaded 91 records from /u/wzhan/prepack-workspace/dataset/realdata_downsample/code.sampled.2.csv
[FIRST-THEN-0] batch=75, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=76, wait_window=0.0000s, num_requests=2
[FIRST-THEN-0] batch=77, wait_window=0.0000s, num_requests=2
[FIRST-THEN-0] batch=78, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=79, wait_window=0.0000s, num_requests=3
[FIRST-THEN-0] batch=80, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=81, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=82, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=83, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=84, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0-BASELINE] avg per-input TTFT=0.1699s
[FIRST-THEN-0] batch=1, wait_window=0.2000s, num_requests=1
[FIRST-THEN-0] batch=2, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=3, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=4, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=5, wait_window=0.0000s, num_requests=1
[FIRST-THEN-0] batch=6, wait_window=0.0000s, num_requests=1
